,x,y,z,allenId,sampleNumber,parentNumber,type,file,zz,subject,id,cluster,cluster2,embedding_x,embedding_y,Unnamed: 0,Graph,somaAP,somaDV,somaML,OLF,Isocortex,HPF,CTXsp,CNU,TH,HY,MB,CB,P,MY,Other,Total Length (cm),Axon Branches,Top Projection,cortex_diff,num_branches,num_tips,mean_fragmentation,max_branch_order,num_outer_bifurcations,mean_bifurcation_angle_local,mean_bifurcation_angle_remote,total_length,max_euclidean_distance,max_path_distance,early_branch_path,mean_contraction
0,10547.6826,4832.4666,4863.8392,771,0,-1,1,/data/648434_12_5_24/Complete_annotated/N022-648434-PG.json,4863.8392,648434,N022-648434,3,6,374.19911435857784,2972.4940387895804,103.0,N022-648434-PG,10547.6826,4832.4666,4863.8392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142971562610622,0.0538014618618159,0.0068481590875004,0.1438689947429971,13.401983180260393,208.0,CB,-0.20451861569231342,31,16,60.0,5,3,1.1352601577357633,1.063653636343608,6702.076782553273,573.1284475452599,925.0339205923002,0.6825581768963155,0.7886791898179754
0,10728.7251,4441.3044,4679.5984,771,0,-1,1,/data/648434_12_5_24/Complete_annotated/N023-648434-HD.json,4679.5984,648434,N023-648434,1,1,-510.5443785064503,-188.4920059520643,106.0,N023-648434-HD,10728.7251,4441.3044,4679.5984,0.1033008960551884,0.5091921217693053,0.1619289572304309,0.0413133787518507,0.0406069969603287,0.0032391157995928,0.0047912255112034,0.0356973660659723,0.0059391163427735,0.0185986798798127,0.0013111633745011,0.0268947216570248,23.957561892421808,345.0,Isocortex,0.853265493232534,15,8,14.466666666666667,4,1,1.2355014955620915,1.4307476989083567,3192.766731042452,568.9410405715772,686.0951814215183,0.6897688043651894,0.8278304793266192
0,10184.9323,4583.9386,4759.3966,771,0,-1,1,/data/648434_12_5_24/Complete_annotated/N020-648434-SS.json,4759.3966,648434,N020-648434,1,1,312.18492584894034,-368.0084351560047,104.0,N020-648434-SS,10184.9323,4583.9386,4759.3966,0.3668138602340316,0.4825119240770502,0.0,0.0002506489213917,0.0560186386017645,0.005708985481719,0.0173635494544555,0.0351367493261577,0.0,0.0210677974203573,0.0,0.012292507899671,13.228511527020164,103.0,Isocortex,0.9304440507765418,17,9,17.470588235294116,4,1,1.1319034859298727,0.5706503457560895,3553.8943827797225,596.200240948367,674.7076922727216,0.7069086678558574,0.8018948311710132
0,10909.1352,4357.0134,6891.9433,202,0,-1,1,/data/648434_12_5_24/Complete_annotated/N011-648434-SS.json,4508.0567,648434,N011-648434,2,3,-1201.127237275352,641.242349480372,105.0,N011-648434-SS,10909.1352,4357.0134,4508.0567,0.0091184192719944,0.8128748852949987,0.0153396106782761,0.0,0.0166732652135155,0.0,0.0185050808176274,0.0232657049424896,0.0002827895351287,0.0092883365010543,0.0192456544629354,0.0568248390328191,16.475255462485894,136.0,Isocortex,0.8104181362220929,23,12,24.652173913043477,5,0,1.1196601775684785,1.402518998456985,3843.665949552056,463.2739796042628,554.3141452311153,0.8866113699727076,0.8059416979745075
0,10345.3048,4778.6333,4901.0922,1093,0,-1,1,/data/648434_12_5_24/Complete_annotated/N025-648434-PG.json,4901.0922,648434,N025-648434,1,1,892.4677772411707,-565.9520564283443,112.0,N025-648434-PG,10345.3048,4778.6333,4901.0922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207186745874232,0.1942334634489901,0.5940552759382468,1.7069718543646228,17.0,Other,-0.9954754852614689,17,9,7.647058823529412,4,1,0.8215649949891073,1.1612987833130495,2739.752182438577,461.20137814614066,702.9605500010955,0.4590700441199774,0.8358838294331106
0,10745.8602,4347.1876,4702.2606,147,0,-1,1,/data/648434_12_5_24/Complete_annotated/N004-648434-SS.json,4702.2606,648434,N004-648434,1,1,566.5924198153377,-15.082405882742837,102.0,N004-648434-SS,10745.8602,4347.1876,4702.2606,0.0159563478437836,0.7038107825547505,0.1571820858408771,0.0042364802571873,0.0181025279248535,0.0018872731916201,0.0134553943231255,0.0142059026199573,0.000151080057159,0.0189141166089142,0.0014819911877131,0.0148323887650981,22.21730923953184,186.0,Isocortex,0.8936082979944294,21,11,40.095238095238095,4,3,1.1537485330652866,1.6015201090670204,3763.9859800089885,600.0759694948208,744.3306118175753,0.826818622925043,0.7738358081937425
0,10201.676,4571.1625,4612.8491,771,0,-1,1,/data/685221_12_5_24/Complete_annotated/N001-685221-PG.json,4612.8491,685221,N001-685221,1,1,776.2640828263593,5.294283956522151,1.0,N001-685221-PG,10201.676,4571.1625,4612.8491,0.0,0.0025696436949392,0.0,0.0,0.0157126348733698,0.1051577961438799,0.0208601347084801,0.2550369954795796,0.0,0.0719444401392403,0.338563810414159,0.1732877479048649,14.318932103914191,103.0,MY,-0.18445879355801553,23,12,469.4347826086956,6,4,0.0,1.1109425758845513,4321.406432591131,767.5229945565014,1003.2055615693195,0.3940842781255591,0.7723734921108114
0,10094.2631,5153.054,4674.3972,1093,0,-1,1,/data/685221_12_5_24/Complete_annotated/N061-685221-YP.json,4674.3972,685221,N061-685221,1,1,-735.1263330636551,-242.1933126115261,57.0,N061-685221-YP,10094.2631,5153.054,4674.3972,0.0,0.0,0.0,0.0,0.0,0.0001327382576094,0.0,0.2310969852638331,0.0,0.2064563293196396,0.2725024741116537,0.2694236657993938,9.106368454282464,148.0,MY,-0.5171527457092446,25,13,13.8,6,2,1.3032126271640818,1.190151275914968,3045.848876839153,695.5685390197435,765.6284972495031,0.5845473172874264,0.8951093591616688
0,10173.5878,4097.4717,5098.8834,771,0,-1,1,/data/685221_12_5_24/Complete_annotated/N049-685221-SP.json,5098.8834,685221,N049-685221,1,2,322.28056440691813,-312.6030776202825,39.0,N049-685221-SP,10173.5878,4097.4717,5098.8834,0.0622513218561847,0.1916006568452333,0.157211562025976,0.0077509898301011,0.1707299271363821,0.0311487636031297,0.0566046752423227,0.0726003849606086,0.0501577812638408,0.0397831708357608,0.0,0.0318707683364043,21.003082122132746,488.0,Isocortex,0.6782443423277731,89,45,6.044943820224719,11,23,1.3407961778899302,1.3571947813517435,3670.469798426525,474.68841532306254,557.8859784108353,0.7810101163902113,0.9035404257152504
0,10626.345,4431.9693,6698.5452,147,0,-1,1,/data/685221_12_5_24/Complete_annotated/N018-685221-DS.json,4701.4548,685221,N018-685221,1,1,898.636590179708,977.3011128711767,10.0,N018-685221-DS,10626.345,4431.9693,4701.4548,0.0121432454817945,0.7374642807329768,0.0814656664034841,0.0026508970474752,0.0050906643029323,0.0,0.0076200770856246,0.0089234856689951,0.0269449265754982,0.0157093257381271,0.0098017580613171,0.0121926388378346,43.920955653566914,809.0,Isocortex,0.8176545940860037,47,24,13.553191489361701,8,12,1.2792561489387249,1.3967855254429329,4807.881252237063,463.53556325531326,801.073871456318,0.5083932345063583,0.835350781822355
